top - 16:33:24 up 73 days,  4:00, 12 users,  load average: 11.36, 26.46, 30.62
Tasks: 1308 total,  10 running, 1295 sleeping,   3 stopped,   0 zombie
%Cpu(s):  6.4 us,  5.0 sy,  0.0 ni, 88.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 2063849.+total, 459210.2 free,  39424.8 used, 1565214.+buff/cache
MiB Swap:   2048.0 total,     71.7 free,   1976.3 used. 1962674.+avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    134 root      20   0       0      0      0 S   0.0   0.0   1:36.53 ksoftirqd/19
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/19:0H-kblockd
    137 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/20
    138 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/20
    139 root      rt   0       0      0      0 S   0.0   0.0   0:24.28 migration/20
    140 root      20   0       0      0      0 S   0.0   0.0   0:19.58 ksoftirqd/20
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/20:0H-events_highpri
    143 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/21
    144 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/21
    145 root      rt   0       0      0      0 S   0.0   0.0   0:22.04 migration/21
    146 root      20   0       0      0      0 S   0.0   0.0   0:09.27 ksoftirqd/21
    148 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/21:0H-events_highpri
    149 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/22
    150 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/22
    151 root      rt   0       0      0      0 S   0.0   0.0   0:21.43 migration/22
    152 root      20   0       0      0      0 S   0.0   0.0   0:07.43 ksoftirqd/22
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/22:0H-events_highpri
    155 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/23
    156 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/23
    157 root      rt   0       0      0      0 S   0.0   0.0   0:20.98 migration/23
    158 root      20   0       0      0      0 S   0.0   0.0   0:10.13 ksoftirqd/23
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/23:0H-events_highpri
    161 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/24
    162 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/24
    163 root      rt   0       0      0      0 S   0.0   0.0   0:28.45 migration/24
    164 root      20   0       0      0      0 S   0.0   0.0   4:05.13 ksoftirqd/24
    166 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/24:0H-events_highpri
    168 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/25
    169 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/25
    170 root      rt   0       0      0      0 S   0.0   0.0   0:35.32 migration/25
    171 root      20   0       0      0      0 S   0.0   0.0   1:30.18 ksoftirqd/25
